Gaussian Method ms, Solver method ms
1678, 16
1374, 13
942, 11
681, 10
672, 10
668, 9
695, 6
426, 6
418, 7
418, 7
435, 7
403, 6
423, 7
421, 7
420, 7
656, 7
433, 7
590, 7
673, 7
676, 7
643, 7
650, 7
739, 7
697, 7
782, 7
499, 7
483, 7
676, 7
453, 7
430, 6
429, 7
570, 7
631, 6
473, 6
471, 7
458, 7
558, 6
421, 6
414, 7
569, 6
397, 5
453, 7
472, 7
701, 7
693, 7
705, 7
664, 7
672, 7
547, 7
551, 7
528, 7
495, 6
417, 7
641, 6
400, 7
389, 6
415, 7
448, 7
532, 7
591, 7
459, 7
421, 7
478, 7
429, 7
474, 6
396, 6
587, 7
429, 6
406, 7
456, 7
578, 7
464, 7
385, 7
458, 6
447, 7
449, 4
459, 7
488, 7
539, 7
527, 7
569, 7
737, 7
749, 7
765, 7
723, 7
702, 7
601, 7
451, 6
706, 7
723, 7
674, 5
685, 7
686, 7
623, 6
632, 7
445, 7
418, 7
479, 7
405, 6
455, 7

