Gaussian Method ms, Solver method ms
4689, 12
4291, 10
3506, 9
4598, 14
4627, 12
2693, 6
3670, 14
4739, 13
4698, 14
4422, 12
4634, 12
4536, 14
5196, 13
3837, 9
2666, 7
2239, 5
3911, 13
4565, 13
3515, 8
3606, 9
3937, 13
4334, 13
3349, 7
3421, 9
3848, 12
4444, 12
3440, 13
3767, 9
4377, 12
4224, 13
4328, 10
3743, 9
2798, 7
3170, 11
4711, 11
3639, 13
4127, 13
4344, 12
4329, 13
4041, 11
2931, 7
3147, 10
2753, 6
3814, 9
2520, 6
4094, 14
3844, 12
4228, 11
3546, 11
3686, 9
3664, 10
4125, 13
4389, 13
4467, 13
4394, 13
4245, 12
4316, 12
4197, 11
4240, 12
4308, 11
4200, 13
4385, 12
4275, 13
3763, 13
3528, 8
3562, 8
2444, 6
2049, 5
1511, 4
1412, 4
3123, 12
4005, 11
4033, 12
3736, 9
3094, 11
4615, 13
4957, 14
4769, 12
4386, 10
4506, 14
5182, 11
5621, 17
3834, 10
4733, 8
3038, 6
2147, 6
1870, 4
3597, 9
3997, 12
3230, 7
3593, 8
2436, 6
4053, 13
3891, 9
4135, 10
4534, 14
4536, 10
3972, 14
3943, 10
3004, 7
