gaussian, solver
4411, 13
4338, 13
4303, 12
4363, 13
4338, 13
4305, 13
4243, 12
4198, 13
4284, 11
3895, 13
4440, 13
4131, 12
4328, 13
4309, 12
4205, 13
4201, 12
4332, 12
4284, 13
4007, 13
4287, 13
4035, 11
4360, 13
4206, 13
4206, 13
4357, 14
4137, 13
4205, 12
4220, 13
4168, 13
4232, 13
4053, 11
4340, 13
4026, 12
4184, 13
4038, 12
4312, 13
4390, 13
4409, 12
4293, 13
4479, 13
4226, 11
4334, 13
4306, 13
4217, 12
4380, 13
4279, 13
4414, 13
4379, 12
4302, 12
4436, 14
4357, 13
4355, 13
4494, 12
4415, 17
4722, 20
4714, 12
4338, 12
4295, 13
4195, 12
4356, 12
4187, 11
4296, 13
4387, 13
4120, 11
4227, 12
4353, 12
4315, 13
4185, 13
4383, 13
4182, 10
4414, 12
4193, 13
4506, 13
4379, 13
4405, 12
4451, 13
4434, 13
4495, 14
4317, 12
4170, 13
4151, 14
4309, 12
4257, 12
4290, 12
4398, 12
5195, 14
4196, 13
4429, 13
4206, 13
4325, 13
4472, 13
4353, 12
4375, 14
4378, 13
4249, 11
4362, 12
4253, 12
4313, 13
4286, 13
4498, 12
