rx:-1.97193e+031, ry:9.30639e+030, vx:-1.97193e+020, vy:9.30639e+019, mass:1.60852e+050
rx:1.71591e+030, ry:-1.75874e+030, vx:1.71591e+019, vy:-1.75874e+019, mass:1.782e+050
rx:1.02331e+032, ry:5.37347e+031, vx:1.02331e+021, vy:5.37347e+020, mass:1.70837e+050
rx:7.6089e+030, ry:-8.35956e+030, vx:7.6089e+019, vy:-8.35956e+019, mass:2.98031e+048
rx:-1.79333e+030, ry:-1.39123e+031, vx:-1.79333e+019, vy:-1.39123e+020, mass:3.29959e+049
rx:1.54494e+031, ry:-1.51186e+030, vx:1.54494e+020, vy:-1.51186e+019, mass:9.28693e+047
rx:-2.1223e+031, ry:3.9292e+030, vx:-2.1223e+020, vy:3.9292e+019, mass:1.13604e+050
rx:4.75423e+030, ry:2.51199e+030, vx:4.75423e+019, vy:2.51199e+019, mass:1.31874e+050
rx:-3.06735e+030, ry:-1.35195e+031, vx:-3.06735e+019, vy:-1.35195e+020, mass:1.20864e+050
rx:1.28168e+030, ry:7.11499e+030, vx:1.28168e+019, vy:7.11499e+019, mass:6.00555e+049
rx:4.1376e+032, ry:2.55833e+032, vx:4.1376e+021, vy:2.55833e+021, mass:1.84118e+050
rx:8.17829e+030, ry:-1.86045e+031, vx:8.17829e+019, vy:-1.86045e+020, mass:4.68049e+049
rx:1.35773e+031, ry:3.64282e+030, vx:1.35773e+020, vy:3.64282e+019, mass:1.67796e+050
rx:6.04129e+030, ry:7.08442e+030, vx:6.04129e+019, vy:7.08442e+019, mass:7.80527e+049
rx:5.81386e+030, ry:1.02348e+032, vx:5.81386e+019, vy:1.02348e+021, mass:4.72237e+048
rx:-7.82396e+029, ry:5.47444e+028, vx:-7.82396e+018, vy:5.47444e+017, mass:1.11807e+049
rx:-2.4257e+031, ry:1.34324e+031, vx:-2.4257e+020, vy:1.34324e+020, mass:5.42769e+049
rx:7.39748e+031, ry:1.01604e+031, vx:7.39748e+020, vy:1.01604e+020, mass:1.44494e+050
rx:1.5676e+030, ry:-9.68996e+030, vx:1.5676e+019, vy:-9.68996e+019, mass:9.31728e+049
rx:2.02267e+031, ry:1.95281e+031, vx:2.02267e+020, vy:1.95281e+020, mass:2.1536e+049
rx:-5.99243e+030, ry:1.31542e+030, vx:-5.99243e+019, vy:1.31542e+019, mass:1.21119e+050
rx:-7.75623e+030, ry:1.08193e+031, vx:-7.75623e+019, vy:1.08193e+020, mass:4.47715e+049
rx:-4.80266e+032, ry:5.61788e+032, vx:-4.80266e+021, vy:5.61788e+021, mass:1.96901e+050
rx:1.3146e+031, ry:-1.73773e+031, vx:1.3146e+020, vy:-1.73773e+020, mass:1.30733e+050
rx:5.85261e+030, ry:-9.42164e+030, vx:5.85261e+019, vy:-9.42164e+019, mass:1.00402e+050
rx:-6.80148e+030, ry:4.95698e+030, vx:-6.80148e+019, vy:4.95698e+019, mass:1.80021e+050
rx:9.83075e+030, ry:-1.1847e+031, vx:9.83075e+019, vy:-1.1847e+020, mass:1.39972e+049
rx:1.99236e+031, ry:-3.0363e+030, vx:1.99236e+020, vy:-3.0363e+019, mass:1.74479e+050
rx:-7.40139e+030, ry:4.66041e+030, vx:-7.40139e+019, vy:4.66041e+019, mass:3.53814e+049
rx:4.71522e+030, ry:-5.90849e+030, vx:4.71522e+019, vy:-5.90849e+019, mass:1.00226e+050
rx:2.16428e+030, ry:3.0193e+030, vx:2.16428e+019, vy:3.0193e+019, mass:1.13118e+050
rx:2.13088e+031, ry:4.24973e+030, vx:2.13088e+020, vy:4.24973e+019, mass:9.45324e+049
rx:-6.37723e+030, ry:-8.3198e+030, vx:-6.37723e+019, vy:-8.3198e+019, mass:6.98037e+048
rx:-1.18818e+031, ry:-4.67057e+030, vx:-1.18818e+020, vy:-4.67057e+019, mass:2.08197e+049
rx:8.15856e+031, ry:-2.99464e+031, vx:8.15856e+020, vy:-2.99464e+020, mass:6.88143e+049
rx:-7.94455e+030, ry:3.77113e+031, vx:-7.94455e+019, vy:3.77113e+020, mass:6.30236e+049
rx:-3.50713e+030, ry:-3.37622e+030, vx:-3.50713e+019, vy:-3.37622e+019, mass:5.923e+049
rx:7.80128e+030, ry:-5.70134e+030, vx:7.80128e+019, vy:-5.70134e+019, mass:1.51419e+050
rx:2.10299e+031, ry:4.93751e+031, vx:2.10299e+020, vy:4.93751e+020, mass:1.77046e+050
rx:-1.3174e+033, ry:-5.86513e+032, vx:-1.3174e+022, vy:-5.86513e+021, mass:1.00457e+049
rx:2.44854e+030, ry:-6.55772e+030, vx:2.44854e+019, vy:-6.55772e+019, mass:1.24657e+050
rx:1.7177e+030, ry:1.8947e+030, vx:1.7177e+019, vy:1.8947e+019, mass:2.45284e+049
rx:-1.68944e+031, ry:7.67111e+029, vx:-1.68944e+020, vy:7.67111e+018, mass:1.87171e+050
rx:-1.99785e+031, ry:-9.74202e+030, vx:-1.99785e+020, vy:-9.74202e+019, mass:1.45805e+050
rx:4.4742e+030, ry:-8.52224e+030, vx:4.4742e+019, vy:-8.52224e+019, mass:1.48615e+050
rx:-2.01557e+032, ry:1.96246e+032, vx:-2.01557e+021, vy:1.96246e+021, mass:1.21337e+049
rx:5.28939e+030, ry:2.39475e+031, vx:5.28939e+019, vy:2.39475e+020, mass:2.29927e+049
rx:-1.37798e+031, ry:-1.53652e+031, vx:-1.37798e+020, vy:-1.53652e+020, mass:9.03988e+049
rx:3.40505e+029, ry:3.13374e+030, vx:3.40505e+018, vy:3.13374e+019, mass:1.46952e+049
rx:3.94904e+030, ry:-1.49207e+031, vx:3.94904e+019, vy:-1.49207e+020, mass:5.77489e+049
rx:1.05612e+031, ry:2.54286e+031, vx:1.05612e+020, vy:2.54286e+020, mass:1.05926e+050
rx:1.29152e+031, ry:-4.54229e+030, vx:1.29152e+020, vy:-4.54229e+019, mass:1.91541e+050
rx:5.40913e+030, ry:1.10323e+031, vx:5.40913e+019, vy:1.10323e+020, mass:6.68173e+049
rx:-1.89751e+031, ry:2.12612e+031, vx:-1.89751e+020, vy:2.12612e+020, mass:1.98497e+050
rx:-4.04461e+030, ry:-2.585e+030, vx:-4.04461e+019, vy:-2.585e+019, mass:8.70604e+049
rx:6.63274e+030, ry:-5.74238e+030, vx:6.63274e+019, vy:-5.74238e+019, mass:5.76821e+049
rx:5.13315e+031, ry:4.15268e+031, vx:5.13315e+020, vy:4.15268e+020, mass:4.01705e+049
rx:3.97968e+030, ry:8.16587e+030, vx:3.97968e+019, vy:8.16587e+019, mass:9.2754e+049
rx:-3.28142e+030, ry:1.94832e+031, vx:-3.28142e+019, vy:1.94832e+020, mass:1.6484e+050
rx:-1.41537e+031, ry:1.95155e+030, vx:-1.41537e+020, vy:1.95155e+019, mass:7.46111e+049
rx:-6.67044e+030, ry:-4.35361e+030, vx:-6.67044e+019, vy:-4.35361e+019, mass:1.80015e+050
rx:4.43521e+029, ry:-4.34673e+031, vx:4.43521e+018, vy:-4.34673e+020, mass:1.38928e+050
rx:4.33683e+031, ry:-1.23157e+031, vx:4.33683e+020, vy:-1.23157e+020, mass:1.59881e+049
rx:-1.39482e+032, ry:-1.54535e+032, vx:-1.39482e+021, vy:-1.54535e+021, mass:1.37459e+050
rx:2.42372e+031, ry:-6.71564e+030, vx:2.42372e+020, vy:-6.71564e+019, mass:1.72585e+050
rx:2.35106e+031, ry:-3.40931e+030, vx:2.35106e+020, vy:-3.40931e+019, mass:8.59496e+048
rx:-1.03261e+031, ry:6.06808e+031, vx:-1.03261e+020, vy:6.06808e+020, mass:1.13209e+050
rx:1.4623e+031, ry:-8.74414e+030, vx:1.4623e+020, vy:-8.74414e+019, mass:1.72846e+050
rx:-2.47824e+031, ry:-6.50415e+030, vx:-2.47824e+020, vy:-6.50415e+019, mass:6.50206e+049
